passing,dribbling,label
67,70,0
58,64,0
63,69,0
62,68,0
67,61,0
46,46,0
65,64,0
57,64,0
54,65,0
30,42,0
55,56,0
53,56,0
34,35,0
53,63,0
51,48,0
56,59,0
50,60,0
56,55,0
60,64,0
60,65,0
62,60,0
54,64,0
66,59,0
48,43,0
64,64,0
48,54,0
40,36,0
66,56,0
60,62,0
51,55,0
53,64,0
47,43,0
59,67,0
51,47,0
56,62,0
55,53,0
48,47,0
56,61,0
50,47,0
56,66,0
52,47,0
48,41,0
57,58,0
61,65,0
61,66,0
55,61,0
49,45,0
35,41,0
60,65,0
45,44,0
62,59,0
59,66,0
56,62,0
62,56,0
63,60,0
60,62,0
45,45,0
60,65,0
64,54,0
55,53,0
39,56,0
51,61,0
42,43,0
60,62,0
38,38,0
56,58,0
53,52,0
55,56,0
54,52,0
53,54,0
44,40,0
63,60,0
49,47,0
57,55,0
37,52,0
54,56,0
62,58,0
53,52,0
57,61,0
47,55,0
52,53,0
58,57,0
59,64,0
56,54,0
53,55,0
53,60,0
62,57,0
63,61,0
54,59,0
53,65,0
55,59,0
56,62,0
56,59,0
55,57,0
46,46,0
57,61,0
57,59,0
56,56,0
57,60,0
53,62,0
51,61,0
57,63,0
60,60,0
60,56,0
38,43,0
55,64,0
33,35,0
61,57,0
59,58,0
52,53,0
62,59,0
45,38,0
47,50,0
54,59,0
54,57,0
47,50,0
56,53,0
48,40,0
53,48,0
51,58,0
60,59,0
53,55,0
52,52,0
59,56,0
55,66,0
60,56,0
60,60,0
60,60,0
55,64,0
55,58,0
33,35,0
54,58,0
31,41,0
58,60,0
58,53,0
44,56,0
40,51,0
48,61,0
56,56,0
35,32,0
55,53,0
52,59,0
51,60,0
44,47,0
49,59,0
46,47,0
55,55,0
55,59,0
43,58,0
58,60,0
33,41,0
58,59,0
55,54,0
57,61,0
51,62,0
39,51,0
48,63,0
44,55,0
47,55,0
38,51,0
53,49,0
57,62,0
37,36,0
59,56,0
49,47,0
58,59,0
52,62,0
57,58,0
60,56,0
41,39,0
37,38,0
51,55,0
45,52,0
36,43,0
54,59,0
43,37,0
54,58,0
60,57,0
40,50,0
54,52,0
50,45,0
59,58,0
59,52,0
60,55,0
55,55,0
56,54,0
56,52,0
39,34,0
53,63,0
46,53,0
56,61,0
50,57,0
58,56,0
53,60,0
37,38,0
48,49,0
49,60,0
38,47,0
32,39,0
59,59,0
55,58,0
51,59,0
48,61,0
57,61,0
33,52,0
52,63,0
53,55,0
59,51,0
43,42,0
52,60,0
45,56,0
31,39,0
51,61,0
48,55,0
49,58,0
50,61,0
53,52,0
58,59,0
44,42,0
59,62,0
43,38,0
53,56,0
48,51,0
53,62,0
61,61,0
50,50,0
44,50,0
57,53,0
52,55,0
55,54,0
42,39,0
45,40,0
52,55,0
40,44,0
56,61,0
57,58,0
53,56,0
54,59,0
50,61,0
49,44,0
40,50,0
53,58,0
61,58,0
51,51,0
57,56,0
59,58,0
47,47,0
39,30,0
56,60,0
41,42,0
53,57,0
53,60,0
55,58,0
57,51,0
49,54,0
55,61,0
51,61,0
33,41,0
58,57,0
53,59,0
47,44,0
47,59,0
54,55,0
57,60,0
50,54,0
48,55,0
53,50,0
50,60,0
52,58,0
55,58,0
41,49,0
32,51,0
52,60,0
33,37,0
50,52,0
32,40,0
